Name,Type,Category,Country,lat,lon,test
Farmacia Las Mercedes,node,pharmacy,DO,19.2242871,-70.5295326,19.2242871 / -70.5295326
Farmacia Miguelito,node,pharmacy,DO,19.1221522,-70.6419007,19.1221522 / -70.6419007
Farmacia San Luís,node,pharmacy,DO,19.3659806,-69.8511614,19.3659806 / -69.8511614
Botica Divino Niño,node,pharmacy,DO,19.3764334,-69.8530241,19.3764334 / -69.8530241
Farmacia Nina,node,pharmacy,DO,18.4865193,-69.9015652,18.4865193 / -69.9015652
Farmax,node,pharmacy,DO,18.6386773,-68.3976843,18.6386773 / -68.3976843
Farmacia ALLAN,node,pharmacy,DO,19.2920916,-70.5427186,19.2920916 / -70.5427186
Farmacia San Antonio,node,pharmacy,DO,19.6638581,-71.1997359,19.6638581 / -71.1997359
unknown name,node,pharmacy,DO,18.3499078,-68.8290642,18.3499078 / -68.8290642
Bicar Farmacia,node,pharmacy,DO,18.5459368,-70.5076345,18.5459368 / -70.5076345
Farmacia Milagros,node,pharmacy,DO,18.5448005,-70.507588,18.5448005 / -70.507588
Farmacia Nacional,node,pharmacy,DO,19.2979038,-70.2557218,19.2979038 / -70.2557218
Farmacia Dsalud,node,pharmacy,DO,19.3016973,-70.2581647,19.3016973 / -70.2581647
Farmacia Inmaculada,node,pharmacy,DO,19.2945994,-70.2545396,19.2945994 / -70.2545396
Farmacia Santa Maria,node,pharmacy,DO,19.2969684,-70.255732,19.2969684 / -70.255732
Farmacia San Pedro,node,pharmacy,DO,19.2988656,-70.2592046,19.2988656 / -70.2592046
Farmacia San Rafael,node,pharmacy,DO,19.2948064,-70.2547054,19.2948064 / -70.2547054
Farmacia Jerusalen,node,pharmacy,DO,19.2927222,-70.2586067,19.2927222 / -70.2586067
Farmacia San Isidro,node,pharmacy,DO,19.3048128,-70.2561106,19.3048128 / -70.2561106
Farmacia Bijao,node,pharmacy,DO,19.3271996,-70.2807332,19.3271996 / -70.2807332
Farmacia Santa Ana,node,pharmacy,DO,19.3741477,-70.3517678,19.3741477 / -70.3517678
Farmacia Lourdes,node,pharmacy,DO,19.3755047,-70.3517438,19.3755047 / -70.3517438
Farmacia Mildeys,node,pharmacy,DO,19.3726173,-70.3503688,19.3726173 / -70.3503688
Farmacia Amyn,node,pharmacy,DO,19.1320443,-70.3761386,19.1320443 / -70.3761386
Farmacia Nieves Papaterra,node,pharmacy,DO,19.6288184,-70.2797139,19.6288184 / -70.2797139
Farmacia Estrella,node,pharmacy,DO,19.3788943,-70.4173703,19.3788943 / -70.4173703
Farmacia Santa Rosa,node,pharmacy,DO,19.3012497,-70.2584659,19.3012497 / -70.2584659
Farmacia San Miguel,node,pharmacy,DO,19.1249711,-70.6402515,19.1249711 / -70.6402515
Farma Xtra,node,pharmacy,DO,18.4747902,-69.9578193,18.4747902 / -69.9578193
Laboratorio Referencia,node,pharmacy,DO,18.4623961,-69.957703,18.4623961 / -69.957703
Farmacia Inés II,node,pharmacy,DO,18.4977334,-69.8523125,18.4977334 / -69.8523125
Farmacia San Rafael,node,pharmacy,DO,18.4942334,-69.8542266,18.4942334 / -69.8542266
Farmacia Patrizo,node,pharmacy,DO,18.492873,-69.8694227,18.492873 / -69.8694227
Farmacia Cesar,node,pharmacy,DO,18.4944441,-69.8670379,18.4944441 / -69.8670379
Farmacia Lovera,node,pharmacy,DO,19.4856756,-70.7113783,19.4856756 / -70.7113783
Farmacia Ciby,node,pharmacy,DO,18.486498,-69.9022804,18.486498 / -69.9022804
